subject,predicate,object
6518994,wikidata/Education::,4184023
7395088,wikidata/Education::,29156
2261663,wikidata/Education::,29136
4179497,wikidata/Education::,7387836
7175546,wikidata/chief executive officer,134241
1015229,wikidata/Education::,29175
6346155,wikidata/Education::,29110
3329624,wikidata/Education::,5184890
1029,"littlesis/Director (Board of Directors), Member (Audit Committee)",3628
3291206,wikidata/Education::,29156
2146347,wikidata/Education::,29110
38186,littlesis/Donation/Grant::250 usd (Campaign Contribution),37989
7355573,wikidata/Education::,29110
2142750,wikidata/Education::,3119713
38224,wikidata/Education::,29175
2139952,wikidata/Education::,3121131
2225166,wikidata/Education::,29143
1004591,wikidata/Education::,29143
4327331,wikidata/Education::,3121131
49279,littlesis/Donation/Grant::2500 usd (Campaign Contribution),368098
990322,wikidata/Education::,29136
4095,littlesis/Donation/Grant::5400 usd (Campaign Contribution),49279
2414422,wikidata/Education::,29143
3320251,wikidata/Education::,2157382
38045,littlesis/Donation/Grant::1000 usd (Campaign Contribution),38214
245673,littlesis/Donation/Grant::11350 usd (Campaign Contribution),28480
5307743,wikidata/Education::,38425
21952,wikidata/Hierarchy::has subsidiary,44621
7380185,wikidata/Education::,38475
4182935,wikidata/Education::,29110
2157773,wikidata/Education::,10158
63649,wikidata/Education::,1294915
3156817,wikidata/Education::,21865
7217618,wikidata/Bachelor of Laws,29110
2345713,wikidata/Education::,5213208
5312388,wikidata/Education::,29155
4179887,wikidata/Education::,3119713
5336149,wikidata/Education::,21865
4177247,wikidata/Education::,38397
29181,littlesis/Donation/Grant::2600 usd (Campaign Contribution),37907
6344772,wikidata/Education::,29241
29181,littlesis/Donation/Grant::250 usd (Campaign Contribution),49233
5339332,wikidata/Education::,38450
2167869,wikidata/Education::,3121131
2346387,wikidata/Doctor of Philosophy,29110
1101073,wikidata/Education::,29155
4388746,wikidata/Education::,29155
4301204,wikidata/Education::,38450
901,littlesis/Lobbying::Direct Lobbying,147707
44598,littlesis/Donation/Grant::10000 usd (Donation),262412
862709,wikidata/Education::,21865
33825,wikidata/Education::,29175
35555,wikidata/Education::,29156
99104,wikidata/Education::,29148
5196714,wikidata/Education::,38425
3741551,wikidata/Education::,21865
39793,littlesis/Donation/Grant::4000 usd (Campaign Contribution),37983
7190332,wikidata/Education::,29156
39793,littlesis/Donation/Grant::4000 usd (Campaign Contribution),28534
1306650,wikidata/Education::,29110
5308461,wikidata/Education::,29175
850266,wikidata/Education::,38397
56812,wikidata/Education::,29155
4437396,wikidata/Education::,7199570
7367084,wikidata/Education::,29110
7435961,wikidata/Education::,5184890
3386606,wikidata/Education::,255354
984374,wikidata/Bachelor of Science (physics),5213208
121340,wikidata/Education::,29156
37989,littlesis/Donation/Grant::500 usd (Campaign Contribution),151151
191237,littlesis/Donation/Grant::8700 usd (Campaign Contribution),19915
4225191,wikidata/Education::,38535
2235229,wikidata/Education::,29110
4422699,wikidata/Education::,29148
180566,littlesis/Donation/Grant::10800 usd (Campaign Contribution),28344
4556009,wikidata/Education::,3121131
3236671,wikidata/Education::,38425
3313519,wikidata/Education::,256097
38075,littlesis/Donation/Grant::3000 usd (Campaign Contribution),21796
6320158,wikidata/Education::,29156
5256487,wikidata/Education::,38397
38214,wikidata/board member,837
2314314,wikidata/Education::,29155
151749,wikidata/Master in Public Administration,29156
5387129,wikidata/Doctor of Philosophy (study of history),38450
6319710,wikidata/Education::,29110
1107290,wikidata/Education::,29156
7182959,wikidata/Education::,226145
2207568,wikidata/Education::,29136
6366628,wikidata/Education::,5213208
3730908,wikidata/Education::,5213208
7190218,wikidata/Education::,29143
6322712,wikidata/Education::,29359
4181675,wikidata/Education::,29136
4221526,wikidata/Education::,38397
6364176,wikidata/Education::,29110
3596,littlesis/Service/Transaction:: (client),256286
5864199,wikidata/Education::,7252649
4323411,wikidata/Education::,10158
3113543,wikidata/Education::,29175
1256956,wikidata/Education::,38397
7201657,wikidata/Education::,29175
941739,wikidata/Education::,261954
5308612,wikidata/Education::,29156
2312697,wikidata/Education::,29148
12070,wikidata/Education::,38425
2353191,wikidata/Education::,38397
7199272,wikidata/Education::,29222
5357697,wikidata/Education::,4184023
4718010,wikidata/Education::,29223
29181,littlesis/Donation/Grant::8100 usd (Campaign Contribution),28453
393293,littlesis/MBA,29156
4179708,wikidata/Education::,3119713
5612244,wikidata/Education::,29110
413003,littlesis/Donation/Grant::4000 usd (Campaign Contribution),21868
6575951,wikidata/Education::,38397
3298789,wikidata/Education::,29241
4204296,wikidata/Education::,29143
7376513,wikidata/Master of Arts,5213208
1256958,wikidata/Education::,416561
3436684,wikidata/Education::,1342676
4692565,wikidata/Education::,29241
5568946,wikidata/Education::,38475
3112733,wikidata/Education::,2147541
7183105,wikidata/Education::,10158
838198,wikidata/Education::,29148
255764,littlesis/Donation/Grant::11600 usd (Campaign Contribution),28454
6518831,wikidata/Education::,3119713
5296049,wikidata/Education::,29110
4178890,wikidata/Education::,29143
143620,wikidata/Ownership::,7603287
258397,littlesis/Donation/Grant::1000 usd (Campaign Contribution),28573
925278,wikidata/Education::,38450
7605657,wikidata/Education::,29159
3711889,wikidata/Education::,4184023
5384098,wikidata/Education::,38404
6481308,wikidata/Education::,29222
29239,littlesis/Donation/Grant::6000 usd (Campaign Contribution),21796
4384758,wikidata/Education::,38535
7261509,wikidata/Education::,29110
81822,littlesis/Family::wife,258364
828,littlesis/Lobbying::Direct Lobbying,38366
3161901,wikidata/Doctor of Philosophy,29110
1502233,wikidata/(jurisprudence),3121131
3146912,wikidata/Education::,38450
156845,littlesis/MBA,38425
134057,littlesis/MS,255354
5322769,wikidata/Education::,255354
1103911,wikidata/Education::,21865
4377924,wikidata/Education::,29241
3414794,wikidata/Education::,29159
1038387,wikidata/Education::,29156
2294523,wikidata/Education::,3119713
7267564,wikidata/Education::,29143
4202562,wikidata/Education::,29155
893904,wikidata/Education::,29175
5535767,wikidata/(Master of Business Administration),415846
4189907,wikidata/Education::,29155
4244799,wikidata/Education::,29136
5218789,wikidata/Education::,38425
7191203,wikidata/Education::,416561
7527738,wikidata/Education::,29143
2141002,wikidata/Education::,4321763
5338044,wikidata/Education::,38404
21796,littlesis/Donation/Grant::2700 usd (Campaign Contribution),412996
6017610,wikidata/Doctor of Philosophy,38397
911548,wikidata/Education::,38425
3272047,wikidata/Education::,38397
258406,littlesis/Donation/Grant::5800 usd (Campaign Contribution),256086
2154396,wikidata/Education::,416561
2440841,wikidata/Education::,7199570
37915,littlesis/BSBA,29155
994976,wikidata/Doctor of Philosophy,29159
7366544,wikidata/Education::,29143
2401598,wikidata/Education::,29159
820977,wikidata/Education::,3187070
143635,littlesis/Hierarchy::subsidiary,143620
377641,littlesis/High School Diploma,226145
28914,littlesis/Donation/Grant::500 usd (Campaign Contribution),38002
2318602,wikidata/Education::,38397
2159586,wikidata/Education::,5213208
1452144,wikidata/Education::,38450
987809,wikidata/Education::,29110
4244582,wikidata/Education::,3119713
5383626,wikidata/Education::,29143
5199769,wikidata/Education::,29110
425507,wikidata/Education::,21865
3597,wikidata/Ownership::,6292271
5482232,wikidata/Education::,21865
5212054,wikidata/Education::,38425
4041,littlesis/Ownership::Indirect owner,3570
4363415,wikidata/Education::,29155
869657,wikidata/Education::,416568
1196163,wikidata/commandant,423551
6518985,wikidata/Education::,29110
3693,wikidata/Ownership::,838142
7336031,wikidata/Education::,29159
2186081,wikidata/Education::,4184023
3284652,wikidata/Education::,21865
5201237,wikidata/Education::,29110
5213284,wikidata/Education::,29110
6468756,wikidata/Education::,226145
134346,wikidata/Doctor of Philosophy,38397
28533,littlesis/JD,29241
2353204,wikidata/Education::,29156
6320206,wikidata/Bachelor of Arts,29110
3621,wikidata/Hierarchy::has subsidiary,3662
3299542,wikidata/(social science),29110
3129747,wikidata/Education::,29156
3326624,wikidata/Education::,29175
2196900,wikidata/Education::,29155
28182,littlesis/Donation/Grant::2000 usd (Campaign Contribution),37983
3400282,wikidata/Education::,255354
1092884,wikidata/Education::,29175
29181,littlesis/Donation/Grant::5600 usd (Campaign Contribution),138974
2146704,wikidata/Education::,38425
2412686,wikidata/Education::,38425
4114,littlesis/Service/Transaction:: (Lobbyist),3575
22121,wikidata/Education::,29110
2165137,wikidata/Education::,29155
6355668,wikidata/Education::,38397
5215858,wikidata/Education::,38425
854623,wikidata/Education::,29148
6203097,wikidata/Education::,29110
4204893,wikidata/Hierarchy::has subsidiary,3369373
7626985,wikidata/Education::,29143
256070,littlesis/Donation/Grant::4000 usd (Campaign Contribution),28515
5228069,wikidata/Education::,7199570
7341313,wikidata/Education::,416561
4454708,wikidata/Education::,21865
4353627,wikidata/Education::,5213208
6212265,wikidata/Education::,10158
843569,wikidata/Doctor of Medicine (neuroscience),29110
5250466,wikidata/Education::,38397
5209281,wikidata/Education::,29143
2354946,wikidata/Education::,29110
7536800,wikidata/Education::,29148
2322571,wikidata/Education::,29159
2327193,wikidata/Master of Arts (biology),38404
947817,wikidata/Education::,29155
6359957,wikidata/Education::,416561
6191237,wikidata/Hierarchy::has subsidiary,5204271
944284,wikidata/Education::,10158
5215431,wikidata/Education::,29159
5276441,wikidata/Education::,29175
531065,wikidata/Education::,29148
5314061,wikidata/Education::,4184023
4342161,wikidata/Education::,2157382
28605,wikidata/Education::,38397
256687,littlesis/Donation/Grant::15000 usd (Campaign Contribution),256070
3122662,wikidata/Education::,38397
6342689,wikidata/Education::,29110
5306324,wikidata/Education::,3119713
3795,littlesis/Lobbying::Direct Lobbying,29085
2259483,wikidata/Education::,29241
28566,littlesis/Donation/Grant::2000 usd (Campaign Contribution),28344
49279,littlesis/Donation/Grant::2000 usd (Campaign Contribution),38015
257345,littlesis/Donation/Grant::23000 usd (Campaign Contribution),28534
2482701,wikidata/Education::,29155
4106,littlesis/Donation/Grant::5000 usd (Campaign Contribution),21796
3298593,wikidata/Education::,29143
32501,wikidata/Ownership::,32563
7464831,wikidata/Education::,38450
1402236,wikidata/Education::,29175
876912,wikidata/Education::,255354
5303787,wikidata/Education::,5184890
4383346,wikidata/Education::,38397
7381444,wikidata/Education::,2157382
5315362,wikidata/Education::,6175003
229913,littlesis/Deputy Chairman,211434
4376996,wikidata/Education::,21865
536341,wikidata/Education::,29110
5208452,wikidata/Education::,29156
7387335,wikidata/Education::,415669
5332503,wikidata/Education::,38425
1024957,wikidata/Education::,255354
4041,littlesis/Donation/Grant::2000 usd (Campaign Contribution),150070
2254822,wikidata/Education::,29110
3202315,wikidata/Education::,38450
5339410,wikidata/Education::,7182808
955644,wikidata/Education::,38397
5327148,wikidata/Education::,29156
4672947,wikidata/instructional staff,29241
3969972,wikidata/Education::,38475
2160456,wikidata/Education::,29155
5171214,wikidata/Doctor of Public Health,38450
2332705,wikidata/Education::,29241
949407,wikidata/Education::,38450
115159,littlesis/MBA,67891
21796,wikidata/Education::,258205
5247872,wikidata/Education::,21865
4056,littlesis/Director,3570
4693875,wikidata/Education::,2157382
429099,wikidata/Education::,29136
28894,wikidata/Education::,29155
29181,littlesis/Donation/Grant::2000 usd (Campaign Contribution),28169
7383621,wikidata/Education::,29155
6188727,wikidata/Education::,58029
2441378,wikidata/Education::,415846
2268781,wikidata/Education::,29110
2205524,wikidata/Education::,29110
2348615,wikidata/Education::,29241
6207400,wikidata/Education::,29143
6394952,wikidata/Education::,29148
6845003,wikidata/Education::,29148
592,wikidata/Hierarchy::has subsidiary,5333796
5397179,wikidata/Education::,10158
28618,littlesis/Donation/Grant::2500 usd (Campaign Contribution),49185
5987270,wikidata/Education::,38397
2348314,wikidata/Education::,29110
2169963,wikidata/Education::,29110
2343359,wikidata/Education::,29143
6585432,wikidata/Education::,29223
2299383,wikidata/Education::,29136
4164512,wikidata/Doctor of Philosophy,5213208
535949,wikidata/Education::,29359
2169812,wikidata/Education::,29156
7189612,wikidata/Education::,29143
1912281,wikidata/Education::,29110
256729,littlesis/Donation/Grant::2000 usd (Campaign Contribution),37983
4709363,wikidata/Education::,416561
5459528,wikidata/Education::,29110
799,littlesis/Member,255718
3282547,wikidata/Education::,415846
6366371,wikidata/Education::,29241
25427,littlesis/Donation/Grant::3000 usd (Campaign Contribution),28344
1010046,wikidata/Education::,29110
2395750,wikidata/Education::,2147541
6228450,wikidata/Education::,7216587
137908,wikidata/Ownership::,1078217
5195261,wikidata/Education::,29156
5187622,wikidata/Education::,416568
816137,wikidata/Education::,3119713
28562,littlesis/Donation/Grant::1500 usd (Campaign Contribution),28472
2439999,wikidata/Education::,29110
4179471,wikidata/Dr. phil.,3119713
4834903,wikidata/Education::,255354
7185034,wikidata/Education::,21865
4228596,wikidata/Education::,29223
2307944,wikidata/Education::,29222
952630,wikidata/Education::,29155
3237819,wikidata/Education::,255440
7384190,wikidata/Education::,38475
407106,littlesis/MBA in Government,29110
3291571,wikidata/Education::,29175
834378,wikidata/Education::,10158
2319152,wikidata/Education::,29148
7365186,wikidata/Education::,38425
6175022,wikidata/Education::,38425
5379535,wikidata/Education::,7199570
1121544,wikidata/Education::,29110
2212267,wikidata/Education::,4184023
28440,littlesis/Donation/Grant::4600 usd (Campaign Contribution),28480
1015239,wikidata/Doctor of Science (aeronautics),29136
5193603,wikidata/Education::,29110
3259465,wikidata/Education::,38397
3571,littlesis/Ownership:: (3% stake) (18264898 shares),883
3157322,wikidata/Education::,29110
902905,wikidata/Education::,29148
4185844,wikidata/Education::,29155
6763897,wikidata/Education::,29156
787,littlesis/Director,3573
4836975,wikidata/Education::,29159
825297,wikidata/Education::,29143
4192695,wikidata/Education::,29110
2338553,wikidata/Education::,29143
4300,littlesis/Donation/Grant::5400 usd (Campaign Contribution),28517
4180484,wikidata/doctorate (physics),29136
5388939,wikidata/Education::,38397
28366,littlesis/Donation/Grant::2000 usd (Campaign Contribution),21796
204298,littlesis/High School Diploma in Nonprofit Management,29223
989720,wikidata/Education::,38397
3114457,wikidata/Education::,29143
4327120,wikidata/Education::,29136
28815,wikidata/Education::,29241
2530976,wikidata/Education::,261954
1153434,wikidata/Education::,29175
5325186,wikidata/Education::,29143
1257346,wikidata/Education::,38425
7322719,wikidata/Education::,29223
37962,littlesis/Donation/Grant::2000 usd (Campaign Contribution),38214
818041,wikidata/Education::,29110
255688,littlesis/Undergraduate in Economics,38397
25455,littlesis/Member,28147
2292514,wikidata/Education::,29156
25094,littlesis/Hierarchy::subsidiary,259754
7200208,wikidata/Education::,29175
6201134,wikidata/Education::,10158
7175535,wikidata/Education::,29156
1461689,wikidata/Education::,415846
5475349,wikidata/bachelor's degree (history),29175
2505417,wikidata/Education::,35960
4300,littlesis/Donation/Grant::2800 usd (Campaign Contribution),399447
5363692,wikidata/Education::,10158
4331200,wikidata/Education::,38397
6411527,wikidata/Education::,29143
7597592,wikidata/Education::,29148
5228182,wikidata/Education::,5213208
4353042,wikidata/Education::,38535
4314732,wikidata/Education::,29155
5184715,wikidata/Education::,29241
1020107,wikidata/Education::,29143
820218,wikidata/Education::,38397
2146784,wikidata/Education::,29175
29004,littlesis/Donation/Grant::29700 usd (Campaign Contribution),28344
6276138,wikidata/Education::,29110
6307398,wikidata/Education::,29143
4477729,wikidata/Juris Doctor (engineering),29148
426251,littlesis/Donation/Grant::5500 usd (Campaign Contribution),37983
4180407,wikidata/Education::,29241
6470626,wikidata/Education::,38425
1252414,wikidata/Education::,29175
255414,littlesis/Donation/Grant::11800 usd (Campaign Contribution),413006
79883,littlesis/Donation/Grant::4000 usd (Campaign Contribution),260590
32638,wikidata/Ownership::,7141800
6476819,wikidata/Education::,5213208
4331117,wikidata/Education::,10158
5464687,wikidata/Education::,29148
6363975,wikidata/Education::,29155
852553,wikidata/Education::,29159
4394048,wikidata/Education::,29175
6516269,wikidata/Education::,29222
5216612,wikidata/Education::,29110
7571487,wikidata/Education::,4184023
7182830,wikidata/Education::,3119713
256431,littlesis/Advisor,255368
33519,wikidata/Education::,21865
5204519,wikidata/Education::,29156
3149769,wikidata/Education::,29148
4393018,wikidata/Education::,29155
415847,littlesis/Donation/Grant::250 usd (Campaign Contribution),28480
5223824,wikidata/Education::,3119713
6230587,wikidata/Education::,29110
3600,littlesis/Donation/Grant::100000000 usd,29155
4378105,wikidata/Education::,29110
38387,littlesis/Donation/Grant::2000 usd (Campaign Contribution),776
3162713,wikidata/Education::,4184023
212880,littlesis/Donation/Grant::250 usd (Campaign Contribution),28480
5349862,wikidata/Education::,255538
4202233,wikidata/(philosophy),3119713
402862,littlesis/Undergraduate,29155
5310215,wikidata/Education::,416561
3673594,wikidata/Education::,6200082
5277654,wikidata/Education::,38475
4163034,wikidata/Hierarchy::has subsidiary,2178156
902587,wikidata/Education::,3121131
2169733,wikidata/Education::,29223
3115999,wikidata/Education::,29136
38223,littlesis/MBA,29155
5205526,wikidata/Education::,29155
3788,wikidata/Ownership::,44522
6545239,wikidata/Education::,29156
2430404,wikidata/Education::,38535
833692,wikidata/Education::,4184023
31174,littlesis/MS,38397
3163524,wikidata/Hierarchy::has subsidiary,2330461
7315600,wikidata/Education::,38397
264006,littlesis/CEO,50603
5708166,wikidata/Education::,29148
7304106,wikidata/Doctor of Philosophy,38397
404100,littlesis/Chairman,421781
368284,littlesis/MS,38397
7325270,wikidata/Education::,29159
95636,littlesis/MS in International Relations,29175
7389053,wikidata/Education::,29110
837,littlesis/Donation/Grant:: (Donation),258263
255303,littlesis/Donation/Grant::2000 usd (Campaign Contribution),21796
7394848,wikidata/Education::,29110
7202464,wikidata/Education::,29175
256070,littlesis/Donation/Grant::3000 usd (Campaign Contribution),28706
4729832,wikidata/Education::,29156
3204893,wikidata/Education::,29143
4762226,wikidata/Education::,29148
824214,wikidata/Education::,3119713
815935,wikidata/Education::,416568
5612069,wikidata/Education::,38397
256070,littlesis/Donation/Grant::6400 usd (Campaign Contribution),28574
3212597,wikidata/Education::,38535
1012,littlesis/Position::Secretary of State,49279
5218834,wikidata/Bachelor of Arts,29175
875182,wikidata/Education::,3119713
7279597,wikidata/Education::,38450
81170,littlesis/Undergraduate,29110
2334137,wikidata/Education::,255538
3241173,wikidata/Education::,3119713
6271361,wikidata/Education::,29110
78497,wikidata/Education::,38425
5569003,wikidata/Education::,38397
6488,wikidata/Juris Doctor,38535
2430129,wikidata/Education::,21865
28825,littlesis/Donation/Grant::1000 usd (Campaign Contribution),38214
99104,littlesis/Donation/Grant::5000 usd (Campaign Contribution),260590
4324699,wikidata/Education::,35960
6518924,wikidata/Education::,29148
212847,littlesis/Donation/Grant::500 usd (Campaign Contribution),150522
6319708,wikidata/Education::,29136
5371649,wikidata/Education::,38397
3788,wikidata/Ownership::,146
389746,wikidata/Hierarchy::has subsidiary,7602669
6398640,wikidata/Education::,29159
2428919,wikidata/Education::,29110
44483,wikidata/Hierarchy::has subsidiary,6635872
5385893,wikidata/Education::,29359
3147597,wikidata/Education::,21865
5194280,wikidata/Education::,29110
7241256,wikidata/Education::,29110
416093,wikidata/Education::,29110
4308487,wikidata/(religious studies),4184023
3676478,wikidata/Education::,38397
3142679,wikidata/Education::,29143
4396755,wikidata/Education::,10158
4276787,wikidata/Education::,261954
1184817,wikidata/Education::,5218639
317515,wikidata/Bachelor of Arts,226145
13791,littlesis/Donation/Grant::11000 usd (Campaign Contribution),28534
6333441,wikidata/Education::,29156
813275,wikidata/Education::,29156
4220708,wikidata/Education::,415846
3837,littlesis/Service/Transaction:: (borrower),3586
5191178,wikidata/Education::,29110
6193318,wikidata/Education::,416568
4310996,wikidata/Education::,38450
3623,littlesis/Lobbying::Direct Lobbying,147707
7372944,wikidata/Education::,29143
3177380,wikidata/Education::,38404
589866,wikidata/Education::,38397
2264350,wikidata/Education::,38450
6496030,wikidata/bachelor's degree (political science),29241
